,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Weligama,LK,5.97,80.42,25.78,87,82,5.65,broken clouds
251,Bitlis,TR,38.50,42.25,8.92,33,0,1.95,clear sky
252,Murwara,IN,23.85,80.40,21.2,67,0,0.89,clear sky
253,Rio Gallegos,AR,-51.62,-69.22,8.78,54,41,5.44,scattered clouds
254,Cervo,ES,43.67,-7.41,16.65,85,8,8.38,clear sky
255,South Yuba City,US,39.12,-121.64,27.27,29,1,2.06,clear sky
256,Beloha,MG,-25.17,45.05,20.1,84,30,4.18,light rain
257,Mehamn,NO,71.04,27.85,7.09,86,100,3.17,overcast clouds
258,Lazarev,RU,52.23,141.51,6.96,85,99,14.43,light rain
259,Longyearbyen,SJ,78.22,15.64,-2.09,74,75,1.03,broken clouds
260,Greystones,IE,53.14,-6.06,10.99,92,69,3.53,broken clouds
261,Yeppoon,AU,-23.13,150.73,22.88,57,2,1.73,clear sky
262,Vostok,RU,46.49,135.88,2.71,86,100,6.42,overcast clouds
263,Nelson Bay,AU,-32.72,152.15,14.86,94,100,0.89,light rain
264,Quelimane,MZ,-17.88,36.89,24.97,78,40,3.6,light rain
265,Jalu,LY,29.03,21.55,25.13,29,0,3.92,clear sky
266,Kitami,JP,43.80,143.89,15.07,86,100,4.61,overcast clouds
267,Atkinson,US,42.84,-71.15,16.73,85,75,1.54,broken clouds
268,Saint Anthony,US,45.02,-93.22,19.75,64,90,3.58,overcast clouds
269,Cherskiy,RU,68.75,161.30,-16.09,96,84,2.36,broken clouds
270,Barra Patuca,HN,15.80,-84.28,28.7,75,57,3.32,broken clouds
271,Atambua,ID,-9.11,124.89,23.81,71,98,1.09,overcast clouds
272,Tongzi,CN,28.78,105.09,13.17,90,100,1.19,light rain
273,Trincomalee,LK,8.57,81.23,27.26,77,100,9.19,overcast clouds
274,Bonthe,SL,7.53,-12.51,25.98,84,19,2.6,few clouds
275,Airai,TL,-8.93,125.41,17.49,63,99,0.67,overcast clouds
276,Okha,RU,53.57,142.95,8.48,95,100,12.36,light rain
277,Xining,CN,36.62,101.77,4.02,76,3,0.92,clear sky
278,Nouakchott,MR,18.09,-15.98,26.96,64,0,8.68,clear sky
279,Batticaloa,LK,7.71,81.69,26.82,76,100,1.95,moderate rain
280,Kusti,SD,13.16,32.66,24.92,80,100,4.24,overcast clouds
281,Chandler,US,33.31,-111.84,29.88,18,1,2.57,clear sky
282,Katherine,AU,-14.47,132.27,29.18,65,62,3.09,broken clouds
283,Komsomolskiy,UZ,40.43,71.72,6.4,75,19,3.09,few clouds
284,Christchurch,NZ,-43.53,172.63,16.11,55,100,2.06,overcast clouds
285,Songjianghe,CN,42.19,127.48,2.03,87,0,1.58,clear sky
286,Tilichiki,RU,60.47,166.10,-2.14,69,66,1.74,broken clouds
287,Hualmay,PE,-11.10,-77.61,18.8,81,48,4.22,scattered clouds
288,Sosnovo-Ozerskoye,RU,52.52,111.54,-1.41,75,4,2.28,clear sky
289,Havoysund,NO,71.00,24.66,6.49,85,100,4.31,light rain
290,Port Hawkesbury,CA,45.62,-61.35,13.66,80,1,0.45,clear sky
291,Yining,CN,29.04,114.56,15.68,89,100,2.06,overcast clouds
292,Puerto Del Rosario,ES,28.50,-13.86,22.86,68,34,6.17,scattered clouds
293,Srednekolymsk,RU,67.45,153.68,-11.88,93,28,1.37,scattered clouds
